fact_id,dimension_id,value,amount,created_date
FACT_000047,9,566,1721.85,2024-08-27
FACT_000048,9,947,2820.0,2024-10-05
FACT_000049,368,438,1632.34,2025-06-13
FACT_000050,4,902,3511.81,2024-10-11
FACT_000051,9,826,4926.39,2024-12-06
FACT_000052,4,953,3664.29,2025-05-18
FACT_000053,2,109,979.34,2025-06-21
FACT_000054,424,289,3272.73,2025-04-22
FACT_000055,888,603,1760.98,2025-07-13
FACT_000056,9,519,4442.34,2025-07-17
FACT_000057,3,866,1503.07,2025-03-10
FACT_000058,1,522,2268.64,2025-03-20
FACT_000059,7,674,4137.82,2024-11-03
FACT_000060,3,268,900.01,2025-02-02
FACT_000061,9,543,4484.9,2024-09-30
FACT_000062,8,680,417.93,2024-09-13
FACT_000063,175,183,192.02,2025-01-10
FACT_000064,6,772,296.93,2025-07-13
FACT_000065,1,158,4454.38,2025-01-22
FACT_000066,6,617,2986.75,2025-07-20
FACT_000067,421,366,61.2,2024-11-20
FACT_000068,5,836,4051.22,2025-01-17
FACT_000069,6,556,579.05,2025-01-19
FACT_000070,10,644,2240.23,2024-10-31
FACT_000071,10,878,3477.96,2025-04-28
FACT_000072,2,4,4610.66,2025-01-17
FACT_000073,8,726,3945.19,2025-02-12
FACT_000074,2,718,2552.86,2025-03-23
FACT_000075,977,35,4023.36,2024-10-21
FACT_000076,38,951,3769.46,2025-06-17
FACT_000077,1,998,1171.19,2024-09-19
FACT_000078,2,839,1419.52,2024-11-14
FACT_000079,961,659,2939.77,2025-02-04
FACT_000080,7,325,3410.42,2025-04-27
FACT_000081,6,733,4653.09,2025-07-30
FACT_000082,3,721,18.95,2024-10-11
FACT_000083,9,185,2440.02,2024-10-24
FACT_000084,7,96,1100.41,2025-02-20
FACT_000085,5,517,1531.15,2024-11-11
FACT_000086,10,871,2361.6,2024-09-18
FACT_000087,379,940,3365.4,2025-07-06
FACT_000088,1,356,1638.93,2025-02-24
FACT_000089,4,167,4059.04,2024-12-29
FACT_000090,4,162,797.68,2025-08-03
FACT_000091,5,127,1101.89,2025-03-10
FACT_000092,8,546,830.94,2024-12-30
FACT_000093,14,686,634.54,2025-01-21
FACT_000094,883,693,2235.81,2025-07-24
FACT_000095,10,487,3516.25,2025-05-02
FACT_000096,528,69,886.61,2025-01-23
FACT_000097,922,960,1695.62,2025-06-12
FACT_000098,5,742,1719.04,2025-01-08
FACT_000099,3,928,2501.14,2024-10-25
FACT_000100,3,186,2150.65,2025-03-09
FACT_000101,7,366,3519.6,2024-10-28
FACT_000102,9,667,2019.31,2024-08-23
FACT_000103,8,316,2105.94,2025-05-03
FACT_000104,10,871,2118.83,2024-09-16
FACT_000105,461,460,4002.77,2025-03-08
FACT_000106,6,538,4007.0,2024-09-13
FACT_000107,857,216,2870.87,2025-01-25
FACT_000108,10,18,2438.96,2025-04-06
FACT_000109,6,988,2382.82,2025-08-04
FACT_000110,757,603,2521.4,2024-12-05
FACT_000111,178,352,4069.15,2025-04-30
FACT_000112,257,829,485.87,2025-06-12
FACT_000113,8,134,293.92,2024-11-28
FACT_000114,424,530,1470.66,2024-10-25
FACT_000115,5,688,4519.47,2025-01-03
FACT_000116,612,383,1505.96,2024-12-28
FACT_000117,2,389,1464.62,2024-12-18
FACT_000118,10,382,2918.42,2025-02-01
FACT_000119,345,785,3385.48,2025-04-17
FACT_000120,9,908,750.91,2025-06-23
FACT_000121,46,381,2795.96,2025-06-14
FACT_000122,10,14,1987.0,2025-01-08
FACT_000123,4,546,1042.81,2024-09-18
FACT_000124,5,417,4872.59,2025-04-15
FACT_000125,9,132,3069.12,2025-04-07
FACT_000126,1,979,3023.23,2025-02-09
FACT_000127,529,914,2474.21,2025-05-10
FACT_000128,5,77,1503.02,2024-12-16
FACT_000129,235,713,3017.74,2025-04-08
FACT_000130,428,981,4657.78,2025-08-13
FACT_000131,6,583,4488.43,2025-06-29
FACT_000132,10,590,4243.2,2025-05-18
FACT_000133,8,718,2198.82,2025-03-02
FACT_000134,515,612,4573.22,2025-07-23
FACT_000135,2,794,2102.33,2024-12-17
FACT_000136,3,224,4305.84,2025-02-20
FACT_000137,4,671,4708.18,2025-05-30
FACT_000138,7,340,211.13,2025-03-01
FACT_000139,862,719,70.26,2025-03-10
FACT_000140,832,516,3065.8,2024-09-24
FACT_000141,7,961,3065.61,2024-10-04
FACT_000142,5,872,2070.09,2024-11-03
FACT_000143,2,657,921.46,2025-03-18
FACT_000144,818,76,3709.18,2025-08-10
FACT_000145,2,589,3314.4,2025-01-17
FACT_000146,7,222,1290.49,2025-03-29
FACT_000147,4,532,862.99,2024-09-30
FACT_000148,10,709,965.63,2025-01-18
FACT_000149,57,822,2624.12,2024-10-03
FACT_000150,6,782,1018.0,2025-06-30
FACT_000151,121,927,1864.17,2024-12-22
FACT_000152,5,445,1419.54,2025-01-11
FACT_000153,3,346,4165.22,2024-12-02
FACT_000154,960,955,1490.28,2025-06-04
FACT_000155,969,148,2898.83,2024-11-10
FACT_000156,680,38,2091.23,2025-02-11
FACT_000157,5,296,996.67,2025-03-14
FACT_000158,307,180,2680.47,2025-02-09
FACT_000159,5,857,393.18,2024-10-31
FACT_000160,8,936,3435.63,2024-09-30
FACT_000161,2,384,827.55,2024-11-15
FACT_000162,2,44,3776.92,2025-06-11
FACT_000163,6,120,1785.05,2024-11-13
FACT_000164,608,622,2637.97,2025-03-26
FACT_000165,996,793,2363.79,2025-01-31
FACT_000166,3,556,2565.74,2024-11-02
FACT_000167,10,203,3024.9,2025-06-30
FACT_000168,860,968,3678.16,2025-03-10
FACT_000169,6,357,264.41,2025-08-19
FACT_000170,2,750,63.55,2025-01-13
FACT_000171,820,117,3563.97,2024-09-07
FACT_000172,2,751,2757.02,2025-01-21
FACT_000173,2,965,2265.81,2025-03-17
FACT_000174,3,864,1833.6,2025-07-13
FACT_000175,302,908,2222.51,2024-11-18
FACT_000176,10,464,3812.55,2025-02-12
FACT_000177,2,192,3853.59,2025-04-28
FACT_000178,1,168,587.16,2025-01-18
FACT_000179,956,841,766.09,2025-04-23
FACT_000180,2,650,3647.24,2025-06-26
FACT_000181,4,109,1260.61,2025-03-03
FACT_000182,40,545,2665.84,2024-10-12
FACT_000183,5,112,1194.51,2025-04-09
FACT_000184,266,153,2719.27,2025-08-21
FACT_000185,5,797,4628.5,2025-04-04
FACT_000186,220,125,4786.36,2025-04-01
FACT_000187,9,112,3481.13,2024-12-19
FACT_000188,1,554,2120.74,2024-10-10
FACT_000189,10,359,2597.03,2024-09-19
FACT_000190,2,599,1384.69,2025-03-07
FACT_000191,3,600,4353.63,2025-01-10
FACT_000192,8,774,565.61,2024-10-25
FACT_000193,6,694,3601.89,2025-07-01
FACT_000194,2,169,2837.56,2025-05-26
FACT_000195,3,707,4315.76,2024-12-08
FACT_000196,4,213,227.84,2025-05-19
FACT_000197,7,932,553.52,2025-04-26
FACT_000198,7,515,757.83,2024-11-26
FACT_000199,10,435,4496.07,2025-05-21
FACT_000200,5,863,3762.25,2025-05-15
FACT_000201,124,374,4360.47,2025-06-27
FACT_000202,8,956,3068.38,2025-07-13
FACT_000203,9,375,3830.36,2025-02-22
FACT_000204,917,428,3213.3,2024-09-06
FACT_000205,2,682,3102.12,2024-10-03
FACT_000206,6,54,4763.31,2025-05-12
FACT_000207,4,864,549.69,2025-07-18
FACT_000208,10,106,4041.17,2025-03-30
FACT_000209,8,147,4302.87,2025-07-29
FACT_000210,3,652,2280.19,2025-04-16
FACT_000211,939,707,3820.72,2025-01-17
FACT_000212,3,419,3458.92,2024-11-01
FACT_000213,1,904,277.61,2024-10-31
FACT_000214,1,477,295.77,2025-06-11
FACT_000215,7,543,2903.53,2025-06-21
FACT_000216,785,46,1995.24,2024-10-20
FACT_000217,10,995,4142.15,2025-02-21
FACT_000218,4,21,775.55,2024-10-30
FACT_000219,8,634,4058.88,2025-05-16
FACT_000220,5,860,4113.44,2024-09-09
FACT_000221,2,343,274.2,2025-02-26
FACT_000222,858,698,1994.76,2025-07-11
FACT_000223,5,840,876.45,2025-04-07
FACT_000224,6,234,1474.95,2025-02-09
FACT_000225,7,406,3458.47,2025-06-14
FACT_000226,9,511,4258.67,2024-10-17
FACT_000227,8,906,261.93,2024-12-09
FACT_000228,7,217,1237.1,2025-06-07
FACT_000229,5,844,4058.4,2025-06-04
FACT_000230,3,645,1459.56,2024-10-24
FACT_000231,6,206,4007.9,2025-05-02
FACT_000232,9,409,2039.4,2024-11-17
FACT_000233,1,12,995.17,2024-12-12
FACT_000234,10,635,4272.99,2025-08-01
FACT_000235,3,717,2965.44,2025-05-12
FACT_000236,6,48,1930.68,2024-11-24
FACT_000237,1,103,285.53,2024-11-03
FACT_000238,9,108,2333.33,2025-08-17
FACT_000239,6,477,2389.67,2024-09-18
FACT_000240,5,566,4915.88,2024-11-04
FACT_000241,8,736,1355.33,2024-09-15
FACT_000242,9,72,3761.71,2025-06-21
FACT_000243,6,221,3379.49,2024-09-10
FACT_000244,5,850,4421.14,2024-11-26
FACT_000245,10,892,4723.54,2025-07-08
FACT_000246,7,548,3355.46,2025-03-23
FACT_000247,113,609,4261.73,2025-07-28
FACT_000248,529,233,3006.55,2025-02-17
FACT_000249,2,962,4735.94,2025-02-18
FACT_000250,1,738,208.35,2025-02-21
FACT_000251,1,373,4093.87,2024-08-29
FACT_000252,9,844,2077.7,2024-10-16
FACT_000253,1,38,4624.17,2025-05-11
FACT_000254,6,486,3974.48,2025-05-28
FACT_000255,3,559,4120.71,2025-05-05
FACT_000256,9,373,1223.03,2025-06-01
FACT_000257,9,297,4730.34,2025-02-16
FACT_000258,432,674,684.03,2025-08-06
FACT_000259,3,86,2295.78,2024-09-25
FACT_000260,1,677,1632.03,2025-01-31
FACT_000261,7,679,3136.91,2025-06-13
FACT_000262,9,805,1590.84,2024-11-16
FACT_000263,1,561,3528.54,2025-07-09
FACT_000264,5,988,682.53,2024-10-30
FACT_000265,1,552,273.7,2025-03-08
FACT_000266,5,959,4464.03,2025-08-11
FACT_000267,2,409,4618.5,2024-09-14
FACT_000268,620,80,4890.33,2025-05-06
FACT_000269,1,929,3242.9,2025-01-06
FACT_000270,9,115,986.02,2025-03-12
FACT_000271,4,6,3760.03,2025-03-18
FACT_000272,7,522,4477.51,2025-06-02
FACT_000273,905,590,2581.35,2025-06-13
FACT_000274,4,728,1448.13,2025-02-18
FACT_000275,6,895,3091.22,2025-05-29
FACT_000276,6,629,4610.22,2024-12-03
FACT_000277,7,312,4048.67,2025-01-13
FACT_000278,10,254,1443.97,2025-05-19
FACT_000279,1,499,4438.56,2025-08-18
FACT_000280,4,831,577.99,2025-03-23
FACT_000281,7,502,3184.75,2025-04-17
FACT_000282,733,93,2867.04,2025-03-07
FACT_000283,5,270,4614.41,2025-05-21
FACT_000284,9,114,694.61,2024-09-10
FACT_000285,502,566,3311.46,2025-02-19
FACT_000286,943,322,953.97,2024-09-09
FACT_000287,994,672,4632.51,2025-06-02
FACT_000288,2,556,1312.5,2025-02-02
FACT_000289,5,275,3026.37,2025-02-23
FACT_000290,6,172,541.9,2025-03-04
FACT_000291,35,291,705.04,2025-02-13
FACT_000292,914,147,147.33,2024-11-21
FACT_000293,9,763,4160.32,2025-01-26
FACT_000294,7,200,1137.11,2025-01-27
FACT_000295,8,616,2493.57,2025-06-01
FACT_000296,2,410,3025.01,2025-07-13
FACT_000297,7,905,1193.56,2025-04-27
FACT_000298,999,708,2281.91,2024-09-12
FACT_000299,7,173,2702.93,2024-09-18
FACT_000300,519,560,1856.42,2024-09-05
FACT_000301,419,461,4765.61,2024-11-09
FACT_000302,432,18,3890.16,2025-07-20
FACT_000303,6,986,4203.56,2025-05-24
FACT_000304,7,70,4137.62,2025-05-10
FACT_000305,899,868,543.88,2024-10-21
FACT_000306,2,830,4883.85,2025-02-01
FACT_000307,191,15,1968.36,2024-11-13
FACT_000308,4,771,4373.32,2025-07-15
FACT_000309,336,755,2776.87,2024-12-18
FACT_000310,6,37,960.52,2024-08-25
FACT_000311,423,564,3208.44,2024-09-11
FACT_000312,479,55,28.98,2025-03-22
FACT_000313,338,438,910.08,2024-11-13
FACT_000314,3,327,2110.35,2025-04-25
FACT_000315,230,922,3586.32,2025-06-15
FACT_000316,4,266,1132.58,2024-10-24
FACT_000317,6,606,2820.51,2025-06-30
FACT_000318,538,449,2509.15,2025-07-29
FACT_000319,10,341,2092.51,2024-12-26
FACT_000320,8,514,511.76,2024-08-25
FACT_000321,4,356,1360.09,2025-04-12
FACT_000322,1,592,3966.27,2024-12-26
FACT_000323,387,506,119.43,2024-09-19
FACT_000324,83,508,3643.41,2024-11-29
FACT_000325,4,435,53.16,2024-11-12
FACT_000326,6,623,350.55,2024-09-20
FACT_000327,52,428,3821.81,2025-05-05
FACT_000328,787,964,1155.27,2025-07-19
FACT_000329,6,824,2315.44,2025-04-19
FACT_000330,6,972,2805.8,2025-08-18
FACT_000331,6,158,2132.67,2025-03-30
FACT_000332,4,939,1360.68,2025-05-02
FACT_000333,51,506,3162.12,2025-07-03
FACT_000334,317,657,904.43,2025-07-26
FACT_000335,4,597,2837.14,2024-11-18
FACT_000336,1,6,2492.41,2025-06-06
FACT_000337,10,902,1326.04,2025-07-22
FACT_000338,708,289,3805.63,2025-07-19
FACT_000339,6,313,1909.51,2024-08-23
FACT_000340,2,630,3854.7,2025-05-28
FACT_000341,5,26,2134.31,2024-08-28
FACT_000342,724,780,3960.81,2025-04-02
FACT_000343,5,622,492.84,2025-01-19
FACT_000344,705,669,704.9,2025-04-16
FACT_000345,660,502,2551.18,2025-04-07
FACT_000346,5,681,2270.48,2024-12-19
FACT_000347,216,713,1982.11,2025-05-26
FACT_000348,637,401,3019.02,2024-09-06
FACT_000349,10,758,665.81,2024-11-07
FACT_000350,10,425,3356.96,2025-08-01
FACT_000351,4,214,1483.23,2024-11-27
FACT_000352,9,886,272.06,2025-05-24
FACT_000353,10,648,2389.15,2025-03-25
FACT_000354,3,16,673.6,2024-09-05
FACT_000355,378,727,3782.18,2025-07-13
FACT_000356,9,459,4705.88,2024-11-05
FACT_000357,4,595,630.01,2025-02-26
FACT_000358,385,217,403.14,2024-09-16
FACT_000359,1,693,2729.06,2025-03-26
FACT_000360,10,160,4825.91,2024-10-01
FACT_000361,6,638,3447.14,2025-03-10
FACT_000362,1,487,599.83,2025-04-11
FACT_000363,6,809,2995.23,2024-09-30
FACT_000364,3,677,866.89,2024-08-26
FACT_000365,8,510,4663.12,2025-03-15
FACT_000366,5,376,1954.64,2025-07-04
FACT_000367,275,852,167.27,2025-01-05
FACT_000368,5,799,1978.95,2025-06-03
FACT_000369,6,211,719.9,2024-09-30
FACT_000370,4,347,850.32,2025-02-07
FACT_000371,739,439,965.18,2025-02-19
FACT_000372,6,605,4050.39,2025-04-22
FACT_000373,5,11,1274.1,2025-01-22
FACT_000374,1,75,3889.36,2024-08-26
FACT_000375,5,443,3544.05,2025-05-28
FACT_000376,8,288,715.27,2025-04-06
FACT_000377,1,181,2369.65,2025-08-06
FACT_000378,3,481,4656.5,2024-12-08
FACT_000379,3,520,1691.75,2025-04-09
FACT_000380,6,430,848.77,2025-05-09
FACT_000381,85,315,4920.61,2025-04-12
FACT_000382,13,367,769.72,2024-09-03
FACT_000383,6,388,800.0,2025-06-27
FACT_000384,6,728,4520.75,2024-11-05
FACT_000385,8,88,3072.69,2025-07-11
FACT_000386,1,260,2429.09,2024-09-28
FACT_000387,520,83,4295.79,2025-02-11
FACT_000388,2,409,4086.25,2025-04-24
FACT_000389,1,34,2224.54,2025-05-22
FACT_000390,7,746,4237.28,2025-08-17
FACT_000391,4,92,3413.2,2025-04-18
FACT_000392,985,220,2886.85,2025-06-06
FACT_000393,6,197,4364.61,2024-09-16
FACT_000394,4,205,4564.68,2025-05-03
FACT_000395,10,100,69.95,2025-02-21
FACT_000396,3,964,2654.08,2024-09-05
FACT_000397,186,59,3563.11,2025-06-05
FACT_000398,452,655,2175.34,2025-02-09
FACT_000399,3,536,502.54,2025-08-18
FACT_000400,6,594,3590.89,2025-04-06
FACT_000401,3,668,1121.16,2025-04-01
FACT_000402,6,873,4122.7,2025-05-05
FACT_000403,837,288,3233.56,2025-02-23
FACT_000404,153,634,224.11,2025-02-02
FACT_000405,4,991,3989.52,2025-05-25
FACT_000406,1,895,362.64,2024-08-27
FACT_000407,3,809,3110.35,2025-04-04
FACT_000408,9,669,3075.14,2025-06-12
FACT_000409,1,568,1798.58,2024-09-23
FACT_000410,5,692,3356.75,2024-10-16
FACT_000411,4,909,1602.13,2024-08-23
FACT_000412,7,106,651.73,2024-09-05
FACT_000413,9,611,1987.81,2025-08-21
FACT_000414,6,48,4301.38,2024-10-13
FACT_000415,535,377,491.18,2025-01-14
FACT_000416,8,519,1262.37,2025-03-03
FACT_000417,15,993,4992.31,2025-01-09
FACT_000418,7,548,3048.32,2025-04-08
FACT_000419,2,77,2806.4,2025-08-20
FACT_000420,5,754,777.49,2024-09-27
FACT_000421,588,161,103.38,2024-10-08
FACT_000422,3,877,1220.63,2025-03-14
FACT_000423,1,743,4594.74,2025-01-07
FACT_000424,3,685,3659.43,2024-10-21
FACT_000425,4,60,3927.17,2025-06-02
FACT_000426,325,577,3108.07,2025-02-23
FACT_000427,8,315,1639.17,2025-06-19
FACT_000428,5,50,4904.1,2024-12-02
FACT_000429,9,464,437.17,2025-04-27
FACT_000430,9,543,2650.64,2025-01-15
FACT_000431,287,895,3786.94,2025-05-02
FACT_000432,960,262,390.72,2025-03-25
FACT_000433,680,573,2871.25,2024-12-27
FACT_000434,6,994,3974.32,2025-01-16
FACT_000435,9,210,3133.68,2024-12-12
FACT_000436,778,234,3709.31,2025-05-25
FACT_000437,4,192,4262.07,2025-07-10
FACT_000438,366,596,4568.37,2025-03-04
FACT_000439,182,871,788.85,2024-10-06
FACT_000440,629,856,2577.75,2025-05-06
FACT_000441,843,141,4582.57,2024-12-15
FACT_000442,6,449,668.93,2025-08-16
FACT_000443,10,596,4189.36,2024-10-16
FACT_000444,1,129,4002.57,2024-11-24
FACT_000445,430,580,4940.08,2024-09-22
FACT_000446,5,958,1274.48,2025-03-25
FACT_000447,6,191,3159.91,2025-06-06
FACT_000448,332,197,2407.22,2025-03-07
FACT_000449,557,524,785.62,2025-07-11
FACT_000450,2,949,1642.17,2024-09-02
FACT_000451,6,612,3109.56,2024-12-30
FACT_000452,3,641,2811.66,2024-10-29
FACT_000453,1,198,4317.98,2025-04-12
FACT_000454,3,599,3821.33,2024-10-03
FACT_000455,8,601,393.18,2024-08-28
FACT_000456,740,123,4145.45,2025-05-05
FACT_000457,1,806,935.63,2024-12-09
FACT_000458,737,448,3548.76,2024-11-03
FACT_000459,9,235,1024.78,2024-11-11
FACT_000460,217,872,4675.24,2024-09-30
FACT_000461,9,567,3761.34,2024-10-26
FACT_000462,10,307,2644.6,2024-10-03
FACT_000463,2,826,724.21,2024-08-22
FACT_000464,950,781,3124.25,2025-02-06
FACT_000465,6,836,4955.54,2024-12-06
FACT_000466,3,173,1110.92,2025-07-08
FACT_000467,195,667,998.79,2025-07-01
FACT_000468,3,27,4761.7,2025-03-17
FACT_000469,620,142,3551.98,2024-10-14
FACT_000470,3,679,605.75,2025-03-20
FACT_000471,136,592,3672.88,2024-12-19
FACT_000472,89,802,3881.18,2024-09-05
FACT_000473,4,399,3552.43,2024-11-01
FACT_000474,6,224,1790.53,2024-09-20
FACT_000475,5,430,569.86,2025-01-16
FACT_000476,7,639,4555.19,2025-08-08
FACT_000477,8,390,4760.88,2025-05-10
FACT_000478,2,486,4062.61,2024-12-09
FACT_000479,4,946,3088.99,2024-12-30
FACT_000480,883,686,2871.96,2025-01-03
FACT_000481,78,164,2295.19,2025-02-19
FACT_000482,1,838,1503.93,2025-04-08
FACT_000483,166,319,402.34,2025-07-17
FACT_000484,7,271,3062.76,2025-03-20
FACT_000485,88,21,910.56,2025-02-04
FACT_000486,3,634,1639.74,2025-05-12
FACT_000487,3,835,2346.51,2025-03-11
FACT_000488,128,467,3432.13,2024-10-17
FACT_000489,4,118,802.94,2025-08-04
FACT_000490,3,326,834.28,2024-09-23
FACT_000491,4,398,3835.76,2025-03-02
FACT_000492,5,245,4335.97,2025-07-26
FACT_000493,5,731,468.91,2024-10-04
FACT_000494,5,681,622.1,2024-10-25
FACT_000495,733,348,313.99,2024-12-19
FACT_000496,8,475,3715.05,2025-04-20
FACT_000497,2,55,755.99,2025-01-24
FACT_000498,10,354,3054.32,2025-06-01
FACT_000499,346,993,4093.36,2025-06-28
FACT_000500,5,149,2552.91,2024-12-16
FACT_000501,6,674,3905.42,2025-07-16
FACT_000502,479,586,1208.97,2025-04-06
FACT_000503,7,610,2818.6,2025-01-08
FACT_000504,3,588,1578.06,2025-01-26
FACT_000505,172,548,356.59,2025-03-24
FACT_000506,416,380,3282.9,2025-03-25
FACT_000507,505,483,2083.03,2025-08-15
FACT_000508,9,750,447.31,2025-01-30
FACT_000509,3,853,3227.08,2025-07-16
FACT_000510,7,537,1517.98,2025-05-06
FACT_000511,1,196,2683.49,2024-09-29
FACT_000512,1,492,788.87,2024-11-09
FACT_000513,5,5,2717.22,2024-09-26
FACT_000514,10,237,1460.9,2025-03-10
FACT_000515,5,273,437.31,2025-07-18
FACT_000516,753,122,4422.21,2024-10-18
FACT_000517,5,33,86.36,2024-11-07
FACT_000518,6,711,2113.92,2024-11-13
FACT_000519,4,100,2920.53,2025-05-24
FACT_000520,3,383,2962.59,2025-04-01
FACT_000521,460,838,1625.58,2025-06-15
FACT_000522,118,309,1237.52,2025-01-27
FACT_000523,10,998,3299.41,2024-11-17
FACT_000524,426,973,787.29,2025-04-29
FACT_000525,542,606,575.78,2024-10-24
FACT_000526,298,121,1664.43,2024-12-29
FACT_000527,6,557,4487.45,2025-06-24
FACT_000528,4,470,2985.52,2025-02-28
FACT_000529,6,36,2687.79,2024-10-02
FACT_000530,5,497,1329.93,2025-07-12
FACT_000531,2,139,1569.57,2025-01-02
FACT_000532,40,533,4544.77,2025-01-31
FACT_000533,105,118,2697.86,2025-03-22
FACT_000534,4,897,840.93,2025-04-13
FACT_000535,7,598,3153.75,2024-12-14
FACT_000536,6,821,4694.28,2025-05-14
FACT_000537,6,580,4096.36,2024-09-04
FACT_000538,379,212,3626.34,2024-12-21
FACT_000539,9,271,4864.28,2025-04-29
FACT_000540,8,351,2155.89,2025-06-11
FACT_000541,5,780,1915.24,2024-10-05
FACT_000542,240,976,1648.8,2024-10-04
FACT_000543,4,533,4797.33,2024-12-07
FACT_000544,7,369,3435.12,2024-12-02
FACT_000545,3,325,4432.96,2025-04-15
FACT_000546,793,727,1230.46,2025-07-24
FACT_000547,784,770,4171.83,2024-09-18
FACT_000548,627,257,2609.99,2025-07-17
FACT_000549,8,465,4708.72,2024-10-21
FACT_000550,594,336,1958.2,2025-01-19
FACT_000551,5,917,1434.08,2025-02-15
FACT_000552,4,255,2280.63,2024-11-12
FACT_000553,9,615,2052.98,2025-08-13
FACT_000554,7,29,1203.29,2025-07-09
FACT_000555,9,833,3254.54,2024-12-21
FACT_000556,7,644,2936.01,2024-10-18
FACT_000557,5,344,157.6,2025-07-26
FACT_000558,5,422,3631.32,2025-05-27
FACT_000559,5,201,4234.89,2025-03-09
FACT_000560,5,478,2454.7,2025-02-18
FACT_000561,7,459,931.0,2024-12-17
FACT_000562,3,886,88.1,2025-03-12
FACT_000563,4,554,1519.3,2025-06-15
FACT_000564,571,347,1631.69,2024-12-10
FACT_000565,2,156,3403.67,2024-11-29
FACT_000566,734,979,2371.95,2025-05-21
FACT_000567,503,464,3167.18,2025-03-11
FACT_000568,26,408,2520.93,2024-10-21
FACT_000569,6,608,1938.06,2025-07-30
FACT_000570,8,800,4938.15,2025-05-02
FACT_000571,1,875,4142.64,2025-03-26
FACT_000572,854,975,430.66,2025-06-08
FACT_000573,426,364,3388.99,2025-02-15
FACT_000574,582,969,303.56,2025-04-06
FACT_000575,3,661,208.45,2024-09-27
FACT_000576,8,240,2406.08,2025-06-26
FACT_000577,1,835,1344.05,2025-06-04
FACT_000578,51,845,2905.82,2024-12-01
FACT_000579,675,127,3561.74,2025-07-06
FACT_000580,3,396,2696.91,2025-06-14
FACT_000581,3,185,100.39,2025-04-13
FACT_000582,3,199,25.69,2025-07-02
FACT_000583,75,569,765.33,2025-02-15
FACT_000584,2,609,35.16,2025-04-19
FACT_000585,10,415,239.67,2025-01-29
FACT_000586,8,828,3903.88,2025-01-31
FACT_000587,1,129,4083.66,2024-12-23
FACT_000588,7,800,811.5,2024-10-20
FACT_000589,7,92,1520.07,2025-01-26
FACT_000590,6,734,4681.91,2025-04-15
FACT_000591,724,49,4310.69,2024-10-02
FACT_000592,9,481,1338.81,2025-03-27
FACT_000593,6,689,360.26,2025-01-24
FACT_000594,9,993,3553.88,2025-02-18
FACT_000595,5,315,1003.12,2025-08-07
FACT_000596,1,121,2732.36,2024-11-28
FACT_000597,9,607,969.13,2025-03-10
FACT_000598,456,144,2428.71,2025-07-04
FACT_000599,10,685,3481.49,2025-07-12
FACT_000600,7,327,2739.64,2024-12-07
FACT_000601,3,428,2904.11,2025-03-19
FACT_000602,9,313,157.06,2024-09-20
FACT_000603,304,850,3612.94,2025-05-06
FACT_000604,7,174,1558.93,2025-02-04
FACT_000605,5,626,859.03,2024-11-18
FACT_000606,1,392,360.34,2025-08-08
FACT_000607,1,538,1998.09,2025-08-05
FACT_000608,991,284,2906.09,2024-12-19
FACT_000609,9,601,1219.17,2025-08-01
FACT_000610,4,903,1121.17,2025-07-01
FACT_000611,401,816,3131.43,2025-08-16
FACT_000612,2,879,1468.34,2025-04-30
